raw_sentence,tokens,tokens_no_stop,stemmed,lemmatized
This book offers fresh insights into the perception of Lincoln.,"['this', 'book', 'offers', 'fresh', 'insights', 'into', 'the', 'perception', 'of', 'lincoln']","['book', 'offers', 'fresh', 'insights', 'perception', 'lincoln']","['book', 'offer', 'fresh', 'insight', 'percept', 'lincoln']","['book', 'offer', 'fresh', 'insight', 'perception', 'lincoln']"
Belongs on the shelf of every person interested in 19th century America.,"['belongs', 'on', 'the', 'shelf', 'of', 'every', 'person', 'interested', 'in', 'th', 'century', 'america']","['belongs', 'shelf', 'every', 'person', 'interested', 'th', 'century', 'america']","['belong', 'shelf', 'everi', 'person', 'interest', 'th', 'centuri', 'america']","['belongs', 'shelf', 'every', 'person', 'interested', 'th', 'century', 'america']"
Hazlitt's view is simple: economics can only be understood if we look at the effects on everyone over time.,"['hazlitts', 'view', 'is', 'simple', 'economics', 'can', 'only', 'be', 'understood', 'if', 'we', 'look', 'at', 'the', 'effects', 'on', 'everyone', 'over', 'time']","['hazlitts', 'view', 'simple', 'economics', 'understood', 'look', 'effects', 'everyone', 'time']","['hazlitt', 'view', 'simpl', 'econom', 'understood', 'look', 'effect', 'everyon', 'time']","['hazlitt', 'view', 'simple', 'economics', 'understood', 'look', 'effect', 'everyone', 'time']"
He views most government economic tinkering as myopic: focussing only on one group of people for a moment.,"['he', 'views', 'most', 'government', 'economic', 'tinkering', 'as', 'myopic', 'focussing', 'only', 'on', 'one', 'group', 'of', 'people', 'for', 'a', 'moment']","['views', 'government', 'economic', 'tinkering', 'myopic', 'focussing', 'one', 'group', 'people', 'moment']","['view', 'govern', 'econom', 'tinker', 'myopic', 'focuss', 'one', 'group', 'peopl', 'moment']","['view', 'government', 'economic', 'tinkering', 'myopic', 'focussing', 'one', 'group', 'people', 'moment']"
He shows how government intervention--well intentioned as it might be--always hurt people in general over the long-term including the people we mean to help.,"['he', 'shows', 'how', 'government', 'interventionwell', 'intentioned', 'as', 'it', 'might', 'bealways', 'hurt', 'people', 'in', 'general', 'over', 'the', 'longterm', 'including', 'the', 'people', 'we', 'mean', 'to', 'help']","['shows', 'government', 'interventionwell', 'intentioned', 'might', 'bealways', 'hurt', 'people', 'general', 'longterm', 'including', 'people', 'mean', 'help']","['show', 'govern', 'interventionwel', 'intent', 'might', 'bealway', 'hurt', 'peopl', 'gener', 'longterm', 'includ', 'peopl', 'mean', 'help']","['show', 'government', 'interventionwell', 'intentioned', 'might', 'bealways', 'hurt', 'people', 'general', 'longterm', 'including', 'people', 'mean', 'help']"
He champions the forgotten man--the people who are hurt when the governmet tries to improve on the workings of the marketplace.,"['he', 'champions', 'the', 'forgotten', 'manthe', 'people', 'who', 'are', 'hurt', 'when', 'the', 'governmet', 'tries', 'to', 'improve', 'on', 'the', 'workings', 'of', 'the', 'marketplace']","['champions', 'forgotten', 'manthe', 'people', 'hurt', 'governmet', 'tries', 'improve', 'workings', 'marketplace']","['champion', 'forgotten', 'manth', 'peopl', 'hurt', 'governmet', 'tri', 'improv', 'work', 'marketplac']","['champion', 'forgotten', 'manthe', 'people', 'hurt', 'governmet', 'try', 'improve', 'working', 'marketplace']"
"Hazlitt presents a clear, concise lesson on basic economics.","['hazlitt', 'presents', 'a', 'clear', 'concise', 'lesson', 'on', 'basic', 'economics']","['hazlitt', 'presents', 'clear', 'concise', 'lesson', 'basic', 'economics']","['hazlitt', 'present', 'clear', 'concis', 'lesson', 'basic', 'econom']","['hazlitt', 'present', 'clear', 'concise', 'lesson', 'basic', 'economics']"
His message is well-articulated and well-supported.,"['his', 'message', 'is', 'wellarticulated', 'and', 'wellsupported']","['message', 'wellarticulated', 'wellsupported']","['messag', 'wellarticul', 'wellsupport']","['message', 'wellarticulated', 'wellsupported']"
"This is a must read for every person who has ever worked or voted (or is planning to do either) because it discusses the essentials in both economic theory and the politics that put the theory into practice.Unfortunately, there are some erroneous ideas in this book.","['this', 'is', 'a', 'must', 'read', 'for', 'every', 'person', 'who', 'has', 'ever', 'worked', 'or', 'voted', 'or', 'is', 'planning', 'to', 'do', 'either', 'because', 'it', 'discusses', 'the', 'essentials', 'in', 'both', 'economic', 'theory', 'and', 'the', 'politics', 'that', 'put', 'the', 'theory', 'into', 'practiceunfortunately', 'there', 'are', 'some', 'erroneous', 'ideas', 'in', 'this', 'book']","['must', 'read', 'every', 'person', 'ever', 'worked', 'voted', 'planning', 'either', 'discusses', 'essentials', 'economic', 'theory', 'politics', 'put', 'theory', 'practiceunfortunately', 'erroneous', 'ideas', 'book']","['must', 'read', 'everi', 'person', 'ever', 'work', 'vote', 'plan', 'either', 'discuss', 'essenti', 'econom', 'theori', 'polit', 'put', 'theori', 'practiceunfortun', 'erron', 'idea', 'book']","['must', 'read', 'every', 'person', 'ever', 'worked', 'voted', 'planning', 'either', 'discusses', 'essential', 'economic', 'theory', 'politics', 'put', 'theory', 'practiceunfortunately', 'erroneous', 'idea', 'book']"
"Hazlitt occasionally makes claims or implies that the government should make some interventions into the economy; he also seems to think that capitalism's merit lies in its service to the ""common good.""","['hazlitt', 'occasionally', 'makes', 'claims', 'or', 'implies', 'that', 'the', 'government', 'should', 'make', 'some', 'interventions', 'into', 'the', 'economy', 'he', 'also', 'seems', 'to', 'think', 'that', 'capitalisms', 'merit', 'lies', 'in', 'its', 'service', 'to', 'the', 'common', 'good']","['hazlitt', 'occasionally', 'makes', 'claims', 'implies', 'government', 'make', 'interventions', 'economy', 'also', 'seems', 'think', 'capitalisms', 'merit', 'lies', 'service', 'common', 'good']","['hazlitt', 'occasion', 'make', 'claim', 'impli', 'govern', 'make', 'intervent', 'economi', 'also', 'seem', 'think', 'capit', 'merit', 'lie', 'servic', 'common', 'good']","['hazlitt', 'occasionally', 'make', 'claim', 'implies', 'government', 'make', 'intervention', 'economy', 'also', 'seems', 'think', 'capitalism', 'merit', 'lie', 'service', 'common', 'good']"
"However, these fallacies are rare, and they do not significantly detract from the book.For a great back-to-back lesson in economics and its moral base, read this book followed by CAPITALISM: THE UNKNOWN IDEAL by Ayn Rand.","['however', 'these', 'fallacies', 'are', 'rare', 'and', 'they', 'do', 'not', 'significantly', 'detract', 'from', 'the', 'bookfor', 'a', 'great', 'backtoback', 'lesson', 'in', 'economics', 'and', 'its', 'moral', 'base', 'read', 'this', 'book', 'followed', 'by', 'capitalism', 'the', 'unknown', 'ideal', 'by', 'ayn', 'rand']","['however', 'fallacies', 'rare', 'significantly', 'detract', 'bookfor', 'great', 'backtoback', 'lesson', 'economics', 'moral', 'base', 'read', 'book', 'followed', 'capitalism', 'unknown', 'ideal', 'ayn', 'rand']","['howev', 'fallaci', 'rare', 'significantli', 'detract', 'bookfor', 'great', 'backtoback', 'lesson', 'econom', 'moral', 'base', 'read', 'book', 'follow', 'capit', 'unknown', 'ideal', 'ayn', 'rand']","['however', 'fallacy', 'rare', 'significantly', 'detract', 'bookfor', 'great', 'backtoback', 'lesson', 'economics', 'moral', 'base', 'read', 'book', 'followed', 'capitalism', 'unknown', 'ideal', 'ayn', 'rand']"
"If you are new to Economics, this is one book that you can skip.","['if', 'you', 'are', 'new', 'to', 'economics', 'this', 'is', 'one', 'book', 'that', 'you', 'can', 'skip']","['new', 'economics', 'one', 'book', 'skip']","['new', 'econom', 'one', 'book', 'skip']","['new', 'economics', 'one', 'book', 'skip']"
"It is not useful nor ""mandatory reading"" if you are looking to understand the subject better.","['it', 'is', 'not', 'useful', 'nor', 'mandatory', 'reading', 'if', 'you', 'are', 'looking', 'to', 'understand', 'the', 'subject', 'better']","['useful', 'mandatory', 'reading', 'looking', 'understand', 'subject', 'better']","['use', 'mandatori', 'read', 'look', 'understand', 'subject', 'better']","['useful', 'mandatory', 'reading', 'looking', 'understand', 'subject', 'better']"
There is not even one chart or graph included in this book!!!,"['there', 'is', 'not', 'even', 'one', 'chart', 'or', 'graph', 'included', 'in', 'this', 'book']","['even', 'one', 'chart', 'graph', 'included', 'book']","['even', 'one', 'chart', 'graph', 'includ', 'book']","['even', 'one', 'chart', 'graph', 'included', 'book']"
Stick with Naked Economics: Undressing the Dismal Science or Economics for Dummies as these two titles will serve you better.,"['stick', 'with', 'naked', 'economics', 'undressing', 'the', 'dismal', 'science', 'or', 'economics', 'for', 'dummies', 'as', 'these', 'two', 'titles', 'will', 'serve', 'you', 'better']","['stick', 'naked', 'economics', 'undressing', 'dismal', 'science', 'economics', 'dummies', 'two', 'titles', 'serve', 'better']","['stick', 'nake', 'econom', 'undress', 'dismal', 'scienc', 'econom', 'dummi', 'two', 'titl', 'serv', 'better']","['stick', 'naked', 'economics', 'undressing', 'dismal', 'science', 'economics', 'dummy', 'two', 'title', 'serve', 'better']"
"When I read something I like the whole story with some facts to back them up, but what I got out of this book was a guy with one side of politics while giving his opinion.","['when', 'i', 'read', 'something', 'i', 'like', 'the', 'whole', 'story', 'with', 'some', 'facts', 'to', 'back', 'them', 'up', 'but', 'what', 'i', 'got', 'out', 'of', 'this', 'book', 'was', 'a', 'guy', 'with', 'one', 'side', 'of', 'politics', 'while', 'giving', 'his', 'opinion']","['read', 'something', 'like', 'whole', 'story', 'facts', 'back', 'got', 'book', 'guy', 'one', 'side', 'politics', 'giving', 'opinion']","['read', 'someth', 'like', 'whole', 'stori', 'fact', 'back', 'got', 'book', 'guy', 'one', 'side', 'polit', 'give', 'opinion']","['read', 'something', 'like', 'whole', 'story', 'fact', 'back', 'got', 'book', 'guy', 'one', 'side', 'politics', 'giving', 'opinion']"
"Although many of his policies I tend to agree with, I just have a really hard time reading something when the entire book (well, I only got around a third way through it) is swung in one way direction.","['although', 'many', 'of', 'his', 'policies', 'i', 'tend', 'to', 'agree', 'with', 'i', 'just', 'have', 'a', 'really', 'hard', 'time', 'reading', 'something', 'when', 'the', 'entire', 'book', 'well', 'i', 'only', 'got', 'around', 'a', 'third', 'way', 'through', 'it', 'is', 'swung', 'in', 'one', 'way', 'direction']","['although', 'many', 'policies', 'tend', 'agree', 'really', 'hard', 'time', 'reading', 'something', 'entire', 'book', 'well', 'got', 'around', 'third', 'way', 'swung', 'one', 'way', 'direction']","['although', 'mani', 'polici', 'tend', 'agre', 'realli', 'hard', 'time', 'read', 'someth', 'entir', 'book', 'well', 'got', 'around', 'third', 'way', 'swung', 'one', 'way', 'direct']","['although', 'many', 'policy', 'tend', 'agree', 'really', 'hard', 'time', 'reading', 'something', 'entire', 'book', 'well', 'got', 'around', 'third', 'way', 'swung', 'one', 'way', 'direction']"
"If you like reading about someone's opinion then you'll love this book, but if you're like me and just like cold hard facts leaving it up to yourself at making your own opinion, then don't buy this book.","['if', 'you', 'like', 'reading', 'about', 'someones', 'opinion', 'then', 'youll', 'love', 'this', 'book', 'but', 'if', 'youre', 'like', 'me', 'and', 'just', 'like', 'cold', 'hard', 'facts', 'leaving', 'it', 'up', 'to', 'yourself', 'at', 'making', 'your', 'own', 'opinion', 'then', 'dont', 'buy', 'this', 'book']","['like', 'reading', 'someones', 'opinion', 'youll', 'love', 'book', 'youre', 'like', 'like', 'cold', 'hard', 'facts', 'leaving', 'making', 'opinion', 'dont', 'buy', 'book']","['like', 'read', 'someon', 'opinion', 'youll', 'love', 'book', 'your', 'like', 'like', 'cold', 'hard', 'fact', 'leav', 'make', 'opinion', 'dont', 'buy', 'book']","['like', 'reading', 'someone', 'opinion', 'youll', 'love', 'book', 'youre', 'like', 'like', 'cold', 'hard', 'fact', 'leaving', 'making', 'opinion', 'dont', 'buy', 'book']"
I was actually looking for a book on economics...,"['i', 'was', 'actually', 'looking', 'for', 'a', 'book', 'on', 'economics']","['actually', 'looking', 'book', 'economics']","['actual', 'look', 'book', 'econom']","['actually', 'looking', 'book', 'economics']"
This book is more of a conservative rant.,"['this', 'book', 'is', 'more', 'of', 'a', 'conservative', 'rant']","['book', 'conservative', 'rant']","['book', 'conserv', 'rant']","['book', 'conservative', 'rant']"
It's not so much that I disagree with what he says so much as the fact that its all politics and very little economics.,"['its', 'not', 'so', 'much', 'that', 'i', 'disagree', 'with', 'what', 'he', 'says', 'so', 'much', 'as', 'the', 'fact', 'that', 'its', 'all', 'politics', 'and', 'very', 'little', 'economics']","['much', 'disagree', 'says', 'much', 'fact', 'politics', 'little', 'economics']","['much', 'disagre', 'say', 'much', 'fact', 'polit', 'littl', 'econom']","['much', 'disagree', 'say', 'much', 'fact', 'politics', 'little', 'economics']"
"Buy this book if you want to hear how much the author thinks liberalism stinks... not if you want ""Economics in one lesson.""","['buy', 'this', 'book', 'if', 'you', 'want', 'to', 'hear', 'how', 'much', 'the', 'author', 'thinks', 'liberalism', 'stinks', 'not', 'if', 'you', 'want', 'economics', 'in', 'one', 'lesson']","['buy', 'book', 'want', 'hear', 'much', 'author', 'thinks', 'liberalism', 'stinks', 'want', 'economics', 'one', 'lesson']","['buy', 'book', 'want', 'hear', 'much', 'author', 'think', 'liber', 'stink', 'want', 'econom', 'one', 'lesson']","['buy', 'book', 'want', 'hear', 'much', 'author', 'think', 'liberalism', 'stink', 'want', 'economics', 'one', 'lesson']"
I definitely feel like I got tricked into buying it.,"['i', 'definitely', 'feel', 'like', 'i', 'got', 'tricked', 'into', 'buying', 'it']","['definitely', 'feel', 'like', 'got', 'tricked', 'buying']","['definit', 'feel', 'like', 'got', 'trick', 'buy']","['definitely', 'feel', 'like', 'got', 'tricked', 'buying']"
...I have ever read.Excellent read for the layperson.,"['i', 'have', 'ever', 'readexcellent', 'read', 'for', 'the', 'layperson']","['ever', 'readexcellent', 'read', 'layperson']","['ever', 'readexcel', 'read', 'layperson']","['ever', 'readexcellent', 'read', 'layperson']"
Most relevant to our current economic crisis in America.,"['most', 'relevant', 'to', 'our', 'current', 'economic', 'crisis', 'in', 'america']","['relevant', 'current', 'economic', 'crisis', 'america']","['relev', 'current', 'econom', 'crisi', 'america']","['relevant', 'current', 'economic', 'crisis', 'america']"
Every politician should be required to read this book.,"['every', 'politician', 'should', 'be', 'required', 'to', 'read', 'this', 'book']","['every', 'politician', 'required', 'read', 'book']","['everi', 'politician', 'requir', 'read', 'book']","['every', 'politician', 'required', 'read', 'book']"
"In fact, every classroom teacher should read it, as well.","['in', 'fact', 'every', 'classroom', 'teacher', 'should', 'read', 'it', 'as', 'well']","['fact', 'every', 'classroom', 'teacher', 'read', 'well']","['fact', 'everi', 'classroom', 'teacher', 'read', 'well']","['fact', 'every', 'classroom', 'teacher', 'read', 'well']"
Explains the mess our government has created and why its continued destructive policies are leading our country to assured economic collapse.,"['explains', 'the', 'mess', 'our', 'government', 'has', 'created', 'and', 'why', 'its', 'continued', 'destructive', 'policies', 'are', 'leading', 'our', 'country', 'to', 'assured', 'economic', 'collapse']","['explains', 'mess', 'government', 'created', 'continued', 'destructive', 'policies', 'leading', 'country', 'assured', 'economic', 'collapse']","['explain', 'mess', 'govern', 'creat', 'continu', 'destruct', 'polici', 'lead', 'countri', 'assur', 'econom', 'collaps']","['explains', 'mess', 'government', 'created', 'continued', 'destructive', 'policy', 'leading', 'country', 'assured', 'economic', 'collapse']"
Policies based entirely on fallacies!,"['policies', 'based', 'entirely', 'on', 'fallacies']","['policies', 'based', 'entirely', 'fallacies']","['polici', 'base', 'entir', 'fallaci']","['policy', 'based', 'entirely', 'fallacy']"
!,[],[],[],[]
"This book is useful for teaching lower division undergraduate students the principles of microeconomics.It can be used as a supplementary book.Hazlitt emphasizes the important concept of opportunity cost,but neglects to incorporate any discussion of spillover effects and externalities(positive and negative,depletable and undepletable),market failure,public goods,the theory of second best,adverse selection,moral hazard, the principal-agent problem,etc.It is interesting that all these missing topics were originally covered by Adam Smith in The Wealth of Nations(1776),especially in Part V.","['this', 'book', 'is', 'useful', 'for', 'teaching', 'lower', 'division', 'undergraduate', 'students', 'the', 'principles', 'of', 'microeconomicsit', 'can', 'be', 'used', 'as', 'a', 'supplementary', 'bookhazlitt', 'emphasizes', 'the', 'important', 'concept', 'of', 'opportunity', 'costbut', 'neglects', 'to', 'incorporate', 'any', 'discussion', 'of', 'spillover', 'effects', 'and', 'externalitiespositive', 'and', 'negativedepletable', 'and', 'undepletablemarket', 'failurepublic', 'goodsthe', 'theory', 'of', 'second', 'bestadverse', 'selectionmoral', 'hazard', 'the', 'principalagent', 'problemetcit', 'is', 'interesting', 'that', 'all', 'these', 'missing', 'topics', 'were', 'originally', 'covered', 'by', 'adam', 'smith', 'in', 'the', 'wealth', 'of', 'nationsespecially', 'in', 'part', 'v']","['book', 'useful', 'teaching', 'lower', 'division', 'undergraduate', 'students', 'principles', 'microeconomicsit', 'used', 'supplementary', 'bookhazlitt', 'emphasizes', 'important', 'concept', 'opportunity', 'costbut', 'neglects', 'incorporate', 'discussion', 'spillover', 'effects', 'externalitiespositive', 'negativedepletable', 'undepletablemarket', 'failurepublic', 'goodsthe', 'theory', 'second', 'bestadverse', 'selectionmoral', 'hazard', 'principalagent', 'problemetcit', 'interesting', 'missing', 'topics', 'originally', 'covered', 'adam', 'smith', 'wealth', 'nationsespecially', 'part', 'v']","['book', 'use', 'teach', 'lower', 'divis', 'undergradu', 'student', 'principl', 'microeconomicsit', 'use', 'supplementari', 'bookhazlitt', 'emphas', 'import', 'concept', 'opportun', 'costbut', 'neglect', 'incorpor', 'discuss', 'spillov', 'effect', 'externalitiesposit', 'negativedeplet', 'undepletablemarket', 'failurepubl', 'goodsth', 'theori', 'second', 'bestadvers', 'selectionmor', 'hazard', 'principalag', 'problemetcit', 'interest', 'miss', 'topic', 'origin', 'cover', 'adam', 'smith', 'wealth', 'nationsespeci', 'part', 'v']","['book', 'useful', 'teaching', 'lower', 'division', 'undergraduate', 'student', 'principle', 'microeconomicsit', 'used', 'supplementary', 'bookhazlitt', 'emphasizes', 'important', 'concept', 'opportunity', 'costbut', 'neglect', 'incorporate', 'discussion', 'spillover', 'effect', 'externalitiespositive', 'negativedepletable', 'undepletablemarket', 'failurepublic', 'goodsthe', 'theory', 'second', 'bestadverse', 'selectionmoral', 'hazard', 'principalagent', 'problemetcit', 'interesting', 'missing', 'topic', 'originally', 'covered', 'adam', 'smith', 'wealth', 'nationsespecially', 'part', 'v']"
When someone is intentionally deceptive in order to sell books or to capture an audience this lowers the value of what they have to say to absolute zero.,"['when', 'someone', 'is', 'intentionally', 'deceptive', 'in', 'order', 'to', 'sell', 'books', 'or', 'to', 'capture', 'an', 'audience', 'this', 'lowers', 'the', 'value', 'of', 'what', 'they', 'have', 'to', 'say', 'to', 'absolute', 'zero']","['someone', 'intentionally', 'deceptive', 'order', 'sell', 'books', 'capture', 'audience', 'lowers', 'value', 'say', 'absolute', 'zero']","['someon', 'intent', 'decept', 'order', 'sell', 'book', 'captur', 'audienc', 'lower', 'valu', 'say', 'absolut', 'zero']","['someone', 'intentionally', 'deceptive', 'order', 'sell', 'book', 'capture', 'audience', 'lower', 'value', 'say', 'absolute', 'zero']"
This book did not help me with my economics class.,"['this', 'book', 'did', 'not', 'help', 'me', 'with', 'my', 'economics', 'class']","['book', 'help', 'economics', 'class']","['book', 'help', 'econom', 'class']","['book', 'help', 'economics', 'class']"
Even though I passed the course with a B.,"['even', 'though', 'i', 'passed', 'the', 'course', 'with', 'a', 'b']","['even', 'though', 'passed', 'course', 'b']","['even', 'though', 'pass', 'cours', 'b']","['even', 'though', 'passed', 'course', 'b']"
This book reads more like a novel and really does not simplify economics at all.,"['this', 'book', 'reads', 'more', 'like', 'a', 'novel', 'and', 'really', 'does', 'not', 'simplify', 'economics', 'at', 'all']","['book', 'reads', 'like', 'novel', 'really', 'simplify', 'economics']","['book', 'read', 'like', 'novel', 'realli', 'simplifi', 'econom']","['book', 'read', 'like', 'novel', 'really', 'simplify', 'economics']"
I work better with definitions and examples and this book gives none.,"['i', 'work', 'better', 'with', 'definitions', 'and', 'examples', 'and', 'this', 'book', 'gives', 'none']","['work', 'better', 'definitions', 'examples', 'book', 'gives', 'none']","['work', 'better', 'definit', 'exampl', 'book', 'give', 'none']","['work', 'better', 'definition', 'example', 'book', 'give', 'none']"
"I read this in the 1980's, and it was a non-event back then.","['i', 'read', 'this', 'in', 'the', 's', 'and', 'it', 'was', 'a', 'nonevent', 'back', 'then']","['read', 'nonevent', 'back']","['read', 'nonev', 'back']","['read', 'nonevent', 'back']"
"Like most books that claim to have ""the answer,"" this book gives an enormously over-simplified view of economics that does not reflect the real world.","['like', 'most', 'books', 'that', 'claim', 'to', 'have', 'the', 'answer', 'this', 'book', 'gives', 'an', 'enormously', 'oversimplified', 'view', 'of', 'economics', 'that', 'does', 'not', 'reflect', 'the', 'real', 'world']","['like', 'books', 'claim', 'answer', 'book', 'gives', 'enormously', 'oversimplified', 'view', 'economics', 'reflect', 'real', 'world']","['like', 'book', 'claim', 'answer', 'book', 'give', 'enorm', 'oversimplifi', 'view', 'econom', 'reflect', 'real', 'world']","['like', 'book', 'claim', 'answer', 'book', 'give', 'enormously', 'oversimplified', 'view', 'economics', 'reflect', 'real', 'world']"
"Moreover, it presents as settled many open questions, claiming the authors opinions as facts.","['moreover', 'it', 'presents', 'as', 'settled', 'many', 'open', 'questions', 'claiming', 'the', 'authors', 'opinions', 'as', 'facts']","['moreover', 'presents', 'settled', 'many', 'open', 'questions', 'claiming', 'authors', 'opinions', 'facts']","['moreov', 'present', 'settl', 'mani', 'open', 'question', 'claim', 'author', 'opinion', 'fact']","['moreover', 'present', 'settled', 'many', 'open', 'question', 'claiming', 'author', 'opinion', 'fact']"
"There are many better books on free-market economics, and far, far better books on economics in general.","['there', 'are', 'many', 'better', 'books', 'on', 'freemarket', 'economics', 'and', 'far', 'far', 'better', 'books', 'on', 'economics', 'in', 'general']","['many', 'better', 'books', 'freemarket', 'economics', 'far', 'far', 'better', 'books', 'economics', 'general']","['mani', 'better', 'book', 'freemarket', 'econom', 'far', 'far', 'better', 'book', 'econom', 'gener']","['many', 'better', 'book', 'freemarket', 'economics', 'far', 'far', 'better', 'book', 'economics', 'general']"
"Although though we're (presumably) members of the same political choir, the author treats economics much too simplistically.Calling this book a polemic on Keynesian economics would be accurate, calling it an economics treatise would be just plain wrong.Time would be better spent reading Bastiat.","['although', 'though', 'were', 'presumably', 'members', 'of', 'the', 'same', 'political', 'choir', 'the', 'author', 'treats', 'economics', 'much', 'too', 'simplisticallycalling', 'this', 'book', 'a', 'polemic', 'on', 'keynesian', 'economics', 'would', 'be', 'accurate', 'calling', 'it', 'an', 'economics', 'treatise', 'would', 'be', 'just', 'plain', 'wrongtime', 'would', 'be', 'better', 'spent', 'reading', 'bastiat']","['although', 'though', 'presumably', 'members', 'political', 'choir', 'author', 'treats', 'economics', 'much', 'simplisticallycalling', 'book', 'polemic', 'keynesian', 'economics', 'would', 'accurate', 'calling', 'economics', 'treatise', 'would', 'plain', 'wrongtime', 'would', 'better', 'spent', 'reading', 'bastiat']","['although', 'though', 'presum', 'member', 'polit', 'choir', 'author', 'treat', 'econom', 'much', 'simplisticallycal', 'book', 'polem', 'keynesian', 'econom', 'would', 'accur', 'call', 'econom', 'treatis', 'would', 'plain', 'wrongtim', 'would', 'better', 'spent', 'read', 'bastiat']","['although', 'though', 'presumably', 'member', 'political', 'choir', 'author', 'treat', 'economics', 'much', 'simplisticallycalling', 'book', 'polemic', 'keynesian', 'economics', 'would', 'accurate', 'calling', 'economics', 'treatise', 'would', 'plain', 'wrongtime', 'would', 'better', 'spent', 'reading', 'bastiat']"
"I was expecting a book on economics 101, so maybe I might understand market forces, PE ratios, stuff like that.It's just a big argument for a libertarian government.","['i', 'was', 'expecting', 'a', 'book', 'on', 'economics', 'so', 'maybe', 'i', 'might', 'understand', 'market', 'forces', 'pe', 'ratios', 'stuff', 'like', 'thatits', 'just', 'a', 'big', 'argument', 'for', 'a', 'libertarian', 'government']","['expecting', 'book', 'economics', 'maybe', 'might', 'understand', 'market', 'forces', 'pe', 'ratios', 'stuff', 'like', 'thatits', 'big', 'argument', 'libertarian', 'government']","['expect', 'book', 'econom', 'mayb', 'might', 'understand', 'market', 'forc', 'pe', 'ratio', 'stuff', 'like', 'thatit', 'big', 'argument', 'libertarian', 'govern']","['expecting', 'book', 'economics', 'maybe', 'might', 'understand', 'market', 'force', 'pe', 'ratio', 'stuff', 'like', 'thatits', 'big', 'argument', 'libertarian', 'government']"
"Not even particularly good arguments either - they're all based on metaphors, like the broken window (paraphrased from memory):'Even though they may get paid, a community does not get rich fixing broken windows.","['not', 'even', 'particularly', 'good', 'arguments', 'either', 'theyre', 'all', 'based', 'on', 'metaphors', 'like', 'the', 'broken', 'window', 'paraphrased', 'from', 'memoryeven', 'though', 'they', 'may', 'get', 'paid', 'a', 'community', 'does', 'not', 'get', 'rich', 'fixing', 'broken', 'windows']","['even', 'particularly', 'good', 'arguments', 'either', 'theyre', 'based', 'metaphors', 'like', 'broken', 'window', 'paraphrased', 'memoryeven', 'though', 'may', 'get', 'paid', 'community', 'get', 'rich', 'fixing', 'broken', 'windows']","['even', 'particularli', 'good', 'argument', 'either', 'theyr', 'base', 'metaphor', 'like', 'broken', 'window', 'paraphras', 'memoryeven', 'though', 'may', 'get', 'paid', 'commun', 'get', 'rich', 'fix', 'broken', 'window']","['even', 'particularly', 'good', 'argument', 'either', 'theyre', 'based', 'metaphor', 'like', 'broken', 'window', 'paraphrased', 'memoryeven', 'though', 'may', 'get', 'paid', 'community', 'get', 'rich', 'fixing', 'broken', 'window']"
"That holds the community still, it does not push it forward.","['that', 'holds', 'the', 'community', 'still', 'it', 'does', 'not', 'push', 'it', 'forward']","['holds', 'community', 'still', 'push', 'forward']","['hold', 'commun', 'still', 'push', 'forward']","['hold', 'community', 'still', 'push', 'forward']"
"'That's a fine argument and all, but that's not teaching.","['thats', 'a', 'fine', 'argument', 'and', 'all', 'but', 'thats', 'not', 'teaching']","['thats', 'fine', 'argument', 'thats', 'teaching']","['that', 'fine', 'argument', 'that', 'teach']","['thats', 'fine', 'argument', 'thats', 'teaching']"
Metaphors are mental manipulation... give me all the pros and cons and let me decide.,"['metaphors', 'are', 'mental', 'manipulation', 'give', 'me', 'all', 'the', 'pros', 'and', 'cons', 'and', 'let', 'me', 'decide']","['metaphors', 'mental', 'manipulation', 'give', 'pros', 'cons', 'let', 'decide']","['metaphor', 'mental', 'manipul', 'give', 'pro', 'con', 'let', 'decid']","['metaphor', 'mental', 'manipulation', 'give', 'pro', 'con', 'let', 'decide']"
Or better: give me the damn facts.And it's outdated too.,"['or', 'better', 'give', 'me', 'the', 'damn', 'factsand', 'its', 'outdated', 'too']","['better', 'give', 'damn', 'factsand', 'outdated']","['better', 'give', 'damn', 'factsand', 'outdat']","['better', 'give', 'damn', 'factsand', 'outdated']"
The book is 50 years old.,"['the', 'book', 'is', 'years', 'old']","['book', 'years', 'old']","['book', 'year', 'old']","['book', 'year', 'old']"
We are so NOT in Post WWII economics.,"['we', 'are', 'so', 'not', 'in', 'post', 'wwii', 'economics']","['post', 'wwii', 'economics']","['post', 'wwii', 'econom']","['post', 'wwii', 'economics']"
"This is one of the most disappointing purchases I have made on Amazon.The book is one long, myopic, libertarian apology.","['this', 'is', 'one', 'of', 'the', 'most', 'disappointing', 'purchases', 'i', 'have', 'made', 'on', 'amazonthe', 'book', 'is', 'one', 'long', 'myopic', 'libertarian', 'apology']","['one', 'disappointing', 'purchases', 'made', 'amazonthe', 'book', 'one', 'long', 'myopic', 'libertarian', 'apology']","['one', 'disappoint', 'purchas', 'made', 'amazonth', 'book', 'one', 'long', 'myopic', 'libertarian', 'apolog']","['one', 'disappointing', 'purchase', 'made', 'amazonthe', 'book', 'one', 'long', 'myopic', 'libertarian', 'apology']"
This is an excellent introduction to Economics.,"['this', 'is', 'an', 'excellent', 'introduction', 'to', 'economics']","['excellent', 'introduction', 'economics']","['excel', 'introduct', 'econom']","['excellent', 'introduction', 'economics']"
